,bath,balcony,price
0,2.0,1.0,39.07
1,5.0,3.0,120.0
2,2.0,3.0,62.0
3,3.0,1.0,95.0
4,2.0,1.0,51.0
5,2.0,1.0,38.0
6,4.0,,204.0
7,4.0,,600.0
8,3.0,1.0,63.25
9,6.0,,370.0
10,2.0,2.0,70.0
11,5.0,3.0,295.0
12,2.0,1.0,38.0
13,2.0,2.0,40.0
14,3.0,2.0,148.0
15,2.0,2.0,73.5
16,3.0,2.0,48.0
17,3.0,3.0,60.0
18,4.0,2.0,290.0
19,2.0,2.0,48.0
20,1.0,1.0,15.0
21,3.0,1.0,122.0
22,5.0,2.0,380.0
23,3.0,1.0,103.0
24,1.0,0.0,25.25
25,3.0,2.0,56.0
26,1.0,1.0,23.1
27,3.0,2.0,81.0
28,2.0,2.0,48.77
29,2.0,1.0,47.0
30,4.0,0.0,186.0
31,2.0,1.0,35.0
32,2.0,2.0,123.0
33,3.0,3.0,57.39
34,3.0,,125.0
35,2.0,1.0,36.0
36,2.0,1.0,45.5
37,3.0,2.0,125.0
38,2.0,2.0,56.12
39,2.0,2.0,45.0
40,2.0,,81.0
41,3.0,2.0,38.0
42,1.0,0.0,38.0
43,1.0,0.0,48.0
44,2.0,2.0,91.79
45,9.0,,200.0
46,2.0,0.0,33.0
47,2.0,1.0,94.82
48,1.0,1.0,130.0
49,2.0,1.0,36.0
50,2.0,1.0,50.0
51,3.0,1.0,99.0
52,3.0,2.0,91.0
53,2.0,2.0,75.0
54,2.0,3.0,75.0
55,2.0,2.0,44.0
56,,,192.0
57,2.0,2.0,185.0
58,4.0,1.0,150.0
59,2.0,2.0,45.0
60,3.0,2.0,240.0
61,2.0,1.0,55.0
62,5.0,3.0,650.0
63,2.0,2.0,44.0
64,8.0,0.0,140.0
65,2.0,1.0,62.0
66,2.0,3.0,43.0
67,2.0,1.0,57.0
68,7.0,0.0,85.0
69,2.0,1.0,36.68
70,3.0,2.0,100.0
71,2.0,1.0,80.58
72,3.0,1.0,101.0
73,2.0,1.0,70.0
74,3.0,2.0,140.0
75,2.0,1.0,48.23
76,2.0,3.0,40.0
77,3.0,3.0,205.0
78,1.0,0.0,22.0
79,6.0,3.0,250.0
80,2.0,2.0,105.0
81,,,224.5
82,2.0,2.0,78.0
83,2.0,2.0,60.8
84,5.0,2.0,102.0
85,7.0,2.0,210.0
86,3.0,2.0,88.0
87,2.0,2.0,37.0
88,2.0,2.0,58.06
89,6.0,3.0,160.0
90,2.0,2.0,70.0
91,2.0,1.0,28.88
92,2.0,2.0,70.0
93,4.0,2.0,155.0
94,2.0,3.0,80.0
95,3.0,2.0,90.0
96,4.0,1.0,245.0
97,2.0,1.0,48.0
98,2.0,1.0,65.0
99,3.0,1.0,90.0
100,3.0,3.0,138.0
101,1.0,1.0,17.0
102,2.0,1.0,150.0
103,2.0,2.0,43.0
104,2.0,2.0,50.0
105,2.0,2.0,49.9
106,2.0,1.0,98.0
107,3.0,2.0,229.0
108,2.0,2.0,55.68
109,2.0,2.0,66.78
110,3.0,3.0,120.0
111,2.0,2.0,75.0
112,2.0,1.0,51.91
113,2.0,1.0,45.9
114,4.0,1.0,225.0
115,3.0,2.0,140.0
116,2.0,3.0,64.0
117,3.0,1.0,74.75
118,2.0,2.0,75.0
119,3.0,3.0,23.0
120,3.0,2.0,120.0
121,3.0,1.0,200.0
122,4.0,0.0,477.0
123,4.0,2.0,150.0
124,2.0,2.0,68.52
125,2.0,1.0,34.0
126,3.0,2.0,65.0
127,2.0,1.0,54.0
128,2.0,1.0,78.0
129,7.0,0.0,115.0
130,3.0,3.0,110.0
131,3.0,1.0,75.0
132,1.0,1.0,16.5
133,4.0,0.0,210.0
134,3.0,2.0,83.0
135,2.0,1.0,57.0
136,2.0,1.0,65.0
137,2.0,0.0,54.005
138,3.0,1.0,50.4
139,2.0,2.0,85.05
140,8.0,,250.0
141,5.0,1.0,213.0
142,3.0,1.0,105.0
143,2.0,1.0,60.0
144,2.0,1.0,43.76
145,7.0,2.0,225.0
146,3.0,,110.0
147,2.0,1.0,35.0
148,3.0,3.0,46.74
149,5.0,,185.0
150,4.0,2.0,91.31
151,2.0,1.0,58.0
152,2.0,3.0,44.0
153,4.0,,235.0
154,2.0,2.0,50.0
155,2.0,1.0,30.6
156,2.0,2.0,50.0
157,3.0,3.0,135.0
158,3.0,1.0,145.0
159,4.0,0.0,760.0
160,2.0,3.0,48.0
161,2.0,1.0,32.0
162,3.0,1.0,150.0
163,4.0,2.0,420.0
164,3.0,1.0,175.0
165,2.0,0.0,43.49
166,2.0,2.0,75.0
167,2.0,1.0,64.5
168,2.0,1.0,60.0
169,2.0,2.0,70.0
170,6.0,0.0,99.0
171,1.0,1.0,11.0
172,2.0,1.0,64.5
173,2.0,1.0,56.0
174,3.0,3.0,65.0
175,3.0,2.0,100.0
176,3.0,2.0,85.0
177,1.0,0.0,14.0
178,1.0,2.0,67.0
179,1.0,1.0,36.0
180,2.0,3.0,51.0
181,3.0,2.0,155.0
182,3.0,2.0,145.0
183,3.0,2.0,110.0
184,2.0,1.0,52.0
185,3.0,2.0,300.0
186,2.0,2.0,55.7
187,2.0,1.0,46.0
188,2.0,0.0,56.8
189,2.0,2.0,52.0
190,4.0,1.0,110.0
191,2.0,3.0,80.0
192,5.0,,325.0
193,7.0,1.0,250.0
194,2.0,2.0,60.0
195,2.0,2.0,98.0
196,2.0,2.0,58.0
197,3.0,1.0,115.0
198,3.0,2.0,56.0
199,2.0,1.0,48.0
200,2.0,2.0,82.0
